itemid	bin_latitude	bin_longitude	bin_timestamp
4	14760.0	9840.0	1
10	12300.0	12300.0	47
32	14760.0	9840.0	4
4	14760.0	9840.0	5
32	14760.0	9840.0	6
19	14760.0	19680.0	7
16	12300.0	19680.0	43
19	14760.0	19680.0	9
19	14760.0	19680.0	1
17	12300.0	19680.0	43
24	14760.0	12300.0	15
4	14760.0	9840.0	2
47	14760.0	9840.0	4
3	12300.0	19680.0	41
1	14760.0	19680.0	1
21	14760.0	12300.0	10
15	14760.0	12300.0	14
47	14760.0	12300.0	11
23	12300.0	19680.0	44
24	14760.0	12300.0	9
47	14760.0	12300.0	12
15	14760.0	12300.0	12
3	12300.0	19680.0	40
17	12300.0	19680.0	41
29	14760.0	19680.0	1
15	14760.0	12300.0	9
47	14760.0	9840.0	6
15	12300.0	12300.0	44
1	14760.0	19680.0	11
24	14760.0	12300.0	11
21	14760.0	12300.0	15
29	14760.0	19680.0	2
19	14760.0	19680.0	2
21	14760.0	12300.0	13
19	14760.0	19680.0	10
29	14760.0	19680.0	6
29	14760.0	19680.0	10
32	14760.0	9840.0	8
4	14760.0	9840.0	6
23	14760.0	19680.0	6
19	14760.0	19680.0	6
17	12300.0	19680.0	44
19	14760.0	19680.0	11
16	12300.0	19680.0	42
16	12300.0	19680.0	41
47	14760.0	9840.0	8
10	14760.0	9840.0	6
47	14760.0	12300.0	13
24	14760.0	12300.0	14
23	12300.0	19680.0	43
1	14760.0	19680.0	9
1	14760.0	19680.0	2
10	14760.0	9840.0	1
1	14760.0	19680.0	6
29	14760.0	19680.0	11
3	12300.0	19680.0	42
23	14760.0	19680.0	10
47	14760.0	12300.0	9
47	14760.0	9840.0	7
4	14760.0	9840.0	8
21	14760.0	12300.0	9
47	14760.0	9840.0	2
32	14760.0	9840.0	1
32	14760.0	9840.0	3
19	14760.0	19680.0	8
4	14760.0	9840.0	3
24	14760.0	12300.0	13
15	14760.0	12300.0	15
3	12300.0	19680.0	43
1	14760.0	19680.0	10
1	14760.0	19680.0	7
47	14760.0	9840.0	5
17	12300.0	19680.0	42
10	14760.0	9840.0	4
47	14760.0	9840.0	3
23	12300.0	19680.0	42
10	12300.0	12300.0	44
10	14760.0	9840.0	5
10	14760.0	9840.0	2
10	14760.0	9840.0	7
15	12300.0	12300.0	46
23	14760.0	19680.0	11
10	14760.0	9840.0	8
15	14760.0	12300.0	13
23	14760.0	19680.0	7
21	14760.0	12300.0	12
10	12300.0	12300.0	45
23	14760.0	19680.0	8
29	14760.0	19680.0	7
24	14760.0	12300.0	10
47	14760.0	12300.0	15
23	12300.0	19680.0	41
17	12300.0	19680.0	40
32	14760.0	9840.0	5
23	14760.0	19680.0	9
32	14760.0	9840.0	7
47	14760.0	9840.0	1
15	14760.0	12300.0	11
29	14760.0	19680.0	9
10	12300.0	12300.0	46
4	14760.0	9840.0	7
32	14760.0	9840.0	2
3	12300.0	19680.0	44
23	12300.0	19680.0	40
4	14760.0	9840.0	4
47	14760.0	12300.0	14
29	14760.0	19680.0	8
15	14760.0	12300.0	10
47	14760.0	12300.0	10
15	12300.0	12300.0	47
1	14760.0	19680.0	8
24	14760.0	12300.0	12
21	14760.0	12300.0	11
15	12300.0	12300.0	45
10	14760.0	9840.0	3
16	12300.0	19680.0	44
21	14760.0	12300.0	14
16	12300.0	19680.0	40
